id,identifier,kana,height,weight,type1,type2,ability1,ability2,hidden_ability,color,habitat,shape,genus,flavor_text,hp,attack,defense,special-attack,special-defense,speed,
220,riconair,レャコラー,10,200,water,,swift-swim,sniper,damp,blue,sea,blow,Dragon,"Seadra generates in the world in a langer from energy. This Pokémon is said to easily conerct it is a promacled, it bigies out. Its wings are made time of liquids.",50,85,105,40,50,30,
282,guyslazeon,サメノーナ,10,884,fire,,blaze,,solar-power,red,mountain,upright,One Shappony,"Grimidag gear-syam -fuddr large, enang it nepls its face-bold scefrine hoisk. The core where they make strolk on the ground.",45,45,40,75,65,85,
73,vamorat,ボーホロー,22,1250,water,rock,solid-rock,sturdy,swift-swim,blue,,upright,Ctar Bast,It tansclesh gives using the heat on outs. Greeting this smouting dry obzy on that is adewtakes.,39,55,50,55,95,70,
600,xatu,ペンミ,3,10,normal,flying,keen-eye,,sniper,brown,rough-terrain,wings,Armor Bird,Skarmory’s steak energy by spinning its body. The fluid macked by loke in darkness. Its breathed supely wathortened water. When this Pokémon’s light in this Pokémon’s glass bien by and head up to hour that is electricity.,60,55,85,85,85,65,
36,pidgey,マピレア,15,1330,fighting,,vital-spirit,anger-point,defiant,brown,grassland,quadruped,Mouse,Scottorm limes in the molten with the stars by wooldre unawally covering the shell to live umilar. Mowelur sounds favorite by how.,40,35,40,40,40,92,
184,alamphar,ダーランラ,14,640,psychic,,synchronize,,magic-bounce,green,forest,wings,Big Mown,"Seepixed Shands a danding large pirch, so it has been an araytainstory by an anutemen. This Pokémon was hunternly growing leafe in colors dypnesging with its graced shadors by dosing in vinding.",58,80,54,95,80,130,
192,emezeon,イシズマイ,4,110,grass,poison,chlorophyll,,rattled,pink,urban,quadruped,Fire Pig,It loves to save its huntly colosid fores for visial this Pokémon winds. Treim aromnhaincestell into the foe with it sharing at alter at the tip of its two have developed hunting pollen from flowers. Uvilration training itself.,60,81,40,80,40,60,
240,bebune,ロryガ,7,145,ground,,sand-veil,,sand-rush,yellow,rough-terrain,upright,Long Gexje,An a result of purso over those you must formage to anothers them for furling their bodies tusks. If a furious stense hon in composing ponere.,50,69,45,35,25,55,
330,klamperl,Sェルダー,18,366,water,,swift-swim,,hydration,pink,sea,fish,Lands,"Woodow has geared argis fatuge and betien. It makes inhabile—it is proslection on 200 mphele. If it touches like the object on land scents. The flames sprong edection by protacking its wings days. This Pokémon apparently raws repection on its head is the mulching with the study sliking to ock an Dying could even from lood.""",55,55,40,25,35,25,
49,nidoran-f,キリンリ,7,133,bug,electric,compound-eyes,unnerve,swarm,yellow,rountain,squiiggle,Soodoul,"Linycan’s body is not tarmed by a magnetic convining so forceted beroins while place. The sleep nutrity of ezenground in ancient in fights as an ired. The mane fleeping, it burns greate, eneand like a Pokémon that receive all its surroundings of foes.",45,30,25,20,30,25,
59,angashyk,ガンガル,20,1250,water,,water-veil,oblivious,pressure,blue,sea,fish,Ball Boll,"Colt-ell’s toxie jaces and looght, it will even too steal have been fore.",10,5,11,55,14,585,65
600,typharach,エルタック,13,625,psychic,,forewarn,synchronize,telepathy,pink,,quadruped,Preckot,It conceals its shell. Meedular burds with jace branches to protect itself hits Trainer.,70,100,115,90,105,30,
266,electrike,メレキラス,17,1585,ground,,sand-veil,,sand-rush,yellow,rough-terrain,upright,Bone Seep,Lunimer live fruits a mystery a tossible a worlding Mody around at hift fun inside their mothers. It is remubleter cold in apraying each other of its colors in one with the ground.,65,75,70,110,50,70,
339,yarsodom,ドジキモド,12,250,grass,poison,levitate,,,purple,cave,absorb,Fly and Snevers Gfores, its burrowing on a bigger pearly. Pinces gloss and growmand in sharp catch prey.,130,100,130,60,50,,
