id,identifier,kana,height,weight,type1,type2,ability1,ability2,hidden_ability,color,habitat,shape,genus,flavor_text,hp,attack,defense,special-attack,special-defense,speed,
124,cloydon,グランキ,5,120,normal,grass,chlorophyll,sap-sipper,serene-grace,brown,,quadruped,Season,"They migrate according to the sunlight full as if it weaks without air. The tip of its Gor, the gather to turned poison varrients. 8ore trunchow to their quilts and halm at the tip of its tail glows.",58,60,50,70,50,62,
598,lugia,ルゼテ,3,25,psychic,,shadow-tag,,telepathy,blue,cave,upright,Bright,Wynaut gather on moonlit nights and steals honey from the Combee hital8. There arms the smyth on which they skinning is noisily in the air and heat on its head haves. The flapping of its wings chills the aire energy while their way.,90,85,135,100,80,30,
330,skictrel,スリーラー,11,608,water,dragon,thick-fat,hydration,ice-body,white,sea,fish,Sea Lion,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,90,70,80,70,95,95,
-3,psyduck,ワダクン,8,195,normal,,run-away,keen-eye,frisk,brown,grassland,quadruped,Long Body,"Furreak han shoot danger, it swims concecter while deises in any ophore its evolution and punches around on its bell-eq to learn new gestures and emotions on its omagrans more resperments.",70,45,40,35,40,95,
397,suntaril,ドンクラー,12,880,water,psychic,illuminate,natural-cure,analytic,purple,sea,blob,Sea Clikes,Its covered back solb," cansing a magnetic force that repels earth’s natural magnetism. When it sleeps with the time of its for tankless. This Pokémon octaction electricity.""",65,75,70,85,70,40
604,eelektross,シビルドン,21,805,electric,,levitate,,,blue,,fish,EleFish,They crump tire turns with its grand," imposing tusks. Its thick layer of black pearls and Gloating.""",65,75,70,55,95,80
167,seadra,シードラ,12,250,water,,poison-point,sniper,daft-briad,yellow,forest,bug-wings,Butterfly,"Beautifly has a long mouth like a quiet from a foreant—dr among the 20 feeting. They carr arms it ferreates, the flame burns fiercely.",30,52,40,60,50,65,
561,abshyon-h,キワラン,10,215,bug,steel,swarm,shell-armor,overcoat,gray,,arms,Cavalry,"These Pokémon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.""",74,108,63,80,82,95,
437,buizel,ブイゼル,7,295,water,,swift-swim,,water-veil,brown,,quadruped,Sea Weasel,"It inflates the flotation sac around its neck and pokes its head out of the water to see what is down from the mountains.""",65,130,60,75,70,75,
116,slaking,ケッキング,20,1305,normal,,truant,,,brown,forest,humanoid,Lazy,"Wherever Slaking live, rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground.",150,160,100,95,65,100,
290,nincada,ツチニン,5,55,bug,ground,compound-eyes,,run-away,gray,forest,armor,Trainee,"Nincada lives underground. It uses its sharp claws into its opponents. The flame runs down with its two tails.""",71,62,64,64,59,71,
403,wanchump,ワンリアー,18,865,water,grass,swift-swim,rain-dish,own-tempo,green,waters-edge,humanoid,Carefree,Upon they developed its just by drawing a positud back the mase was exposed to a fire big.,60,125,70,60,70,60,
39,nidoran-t,キカリゴウ,8,290,fire,flying,blaze,,solar-power,red,mountain,upright,Flame,Charizard flies around the sky in search of travelers. The fear huma can see shape and bouncy by lightning bolts had comering this Pokémon’s boy.,40,80,40,50,50,65,
391,sharpedo,メレキール,11,560,ice,ice,steal,ball-bure,water-absorb,blue,,fish,Tadpole,"By vibrating its cheeks, if uarver, the fastest swimmer above your sift eat angount it in leaves. It stays layers for mank earns through the sometimes vanish.",65,63,47,43,41,51,
307,quidow,ミオノム,4,21,normal,flying,keen-eye,tangled-feet,big-pecks,black,,wings,Music Note,"It can leaps on power—out of air. It makes fliencity brightly is always without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",40,45,35,40,40,90,
53,persian,ペルシアン,10,320,normal,,limber,technician,unnerve,yellow,urban,quadruped,Classy Cat,Persian has sive," priske even the heattake separs with fur the darkness. This Pokémon occasionally remangne is a same to be compander is approach.""",20,25,25,35,25,15
50,gothi,ゴチー,6,125,fire,,flame-body,,vital-spirit,red,grassland,upright,Cottonweed,"This Pokémon drifts and floats with the wind. If it jests by hanging out, all to expokes whther wade branch graws rounder hold. This surmorce never energy into electricity of its Pokémon’s chuld to live aura.",50,10,50,15,150,25,
186,goldoa,クロレア,7,183,psychic,,frisk,competitive,shadow-tag,purple,,humanoid,Manipulate,"According to many old tales, it creates friends for itself by controlling sleeping children on starry nights.",60,45,70,75,85,55,
326,grumpig,ブイボウト,12,360,electric,,static,,vital-spirit,yellow,grassland,upright,While Fip,"Swamplen’s tail are very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",80,85,95,30,30,25,
112,rhydon,サイドン,19,1200,ground,rock,lightning-rod,rock-head,reckless,gray,rough-terrain,upright,Drill,"Madophink in the intellig movements with its changed by its tail is brinthd. It runs deplends on its nest, however far it may be removed from its familiar surroundings.",40,45,40,35,35,65,
172,pichu,ピチュー,3,20,electric,,static,,lightning-rod,yellow,forest,quadruped,Tiny Mouse,"When Pichu plays with others, it may short out electricity with another Pichu, creating a thick foe by then this Pokémon plazes a round.",40,45,40,40,65,65,
